Winner,Player1,Player2,MoveCount
X,Bot,Bot,7
X,Bot,Bot,7
O,Bot,Bot,8
X,Bot,Bot,7
O,Bot,Bot,8
X,Bot,Bot,9
X,Bot,Bot,9
X,Bot,Bot,7
X,Bot,Bot,7
O,Bot,Bot,8
X,X,Bot,5
Draw,X,Bot,9
X,X,Bot,5
X,X,Bot,5
O,Bot,O,6
X,X,Bot,5
O,Bot,O,6
O,Bot,O,6
O,Bot,O,6
O,Bot,O,6
O,Bot,O,8
X,Bot,Bot,7
X,Bot,Bot,9
X,Bot,Bot,7
O,Bot,Bot,8
O,Bot,Bot,8
O,Bot,Bot,8
X,Bot,Bot,7
O,Bot,Bot,8
O,Bot,Bot,6
X,Bot,Bot,5
X,Bot,Bot,9
Draw,Bot,Bot,9
X,Bot,Bot,9
X,Bot,Bot,7
O,Bot,Bot,8
X,Bot,Bot,5
X,Bot,Bot,9
X,Bot,Bot,7
X,Bot,Bot,9
O,Bot,Bot,8
O,Bot,Bot,8
O,Bot,Bot,8
Draw,Bot,Bot,9
X,Bot,Bot,5
Draw,Bot,Bot,9
O,Bot,Bot,6
O,Bot,Bot,8
X,Bot,Bot,7
X,Bot,Bot,5
O,Bot,O,8
O,X,O,6
Draw,X,O,9
O,X,O,8
Draw,X,O,9
X,X,O,7
O,X,O,8
O,Bot,O,6
